RecordID_1	RecordID_2	Record1_Len	Record2_Len	MaxJaccardContain
bdlA	group_4283	1455	1731	0.014035087719298246
group_1005	group_1266	1038	957	0.014023732470334413
group_5426	group_1231	1005	969	0.013844515441959531
group_760	batB	1191	1275	0.013781223083548665
mnmH	group_5999	1047	1461	0.01376597836774828
group_1892	group_1812	759	780	0.013717421124828532
group_1070	group_1428	1008	906	0.0136986301369863
group_4087	group_4967	1542	1494	0.01366120218579235
group_5104	group_2084	693	693	0.013574660633484163
dppC	group_1400	927	915	0.013559322033898305
group_1716	group_1859	810	768	0.013550135501355014
group_542	group_4089	1359	1377	0.013544018058690745
group_426	group_371	1509	1587	0.013522650439486139
group_3043	arsR	327	330	0.013468013468013467
group_830	batB	1149	1275	0.013404825737265416
group_340	oppF~~~dppD	1635	1002	0.013374485596707819
group_995	group_1810	1044	780	0.013333333333333334
group_5812	group_763	930	1191	0.013333333333333334
group_1078	group_1075	1005	1008	0.013333333333333334
group_5608	group_2034	711	708	0.01327433628318584
group_1033	pafB	1023	1095	0.013091641490433032
group_3403	group_621	183	1284	0.013071895424836602
group_4087	group_5238	1542	873	0.013048635824436536
group_2585	group_4542	492	492	0.012987012987012988
group_1546	group_1551	879	879	0.012956419316843345
tnpA	group_6997	339	366	0.012944983818770227
group_6543	group_1760	726	795	0.01293103448275862
group_3695	treY	2733	2664	0.012908124525436599
group_1257	group_1242	960	966	0.012903225806451613
opuE	group_7078	1401	186	0.01282051282051282
group_1505	group_6596	891	888	0.01282051282051282
artM	group_6379	810	1449	0.01282051282051282
group_688	group_1945	1227	741	0.012658227848101266
group_1938	group_1899	741	756	0.012658227848101266
group_4007	group_2142	663	669	0.01263823064770932
bdlA	group_5621	1455	1803	0.01263157894736842
group_2767	group_2779	426	426	0.012626262626262626
group_4487	group_3503	2172	2178	0.012605042016806723
group_527	group_514	1383	1401	0.012564671101256468
group_1140	group_1058	987	1014	0.012539184952978056
spaS	group_138	1152	2322	0.012477718360071301
group_1390	group_4936	918	936	0.012387387387387387
group_506	aRO8	1410	1413	0.012318840579710146
group_566	group_568	1332	1332	0.01228878648233487
group_4359	group_5500	276	312	0.012195121951219513
dan	group_4841	1455	1497	0.011929824561403509
bdlA	tar	1455	1731	0.011929824561403509
group_725	group_727	1209	1209	0.011874469889737066
group_4051	group_1170	984	981	0.011566771819137749
oppF~~~dppD	gsiA	1002	984	0.011530398322851153
yhdW	group_1145	1017	987	0.011494252873563218
group_6458	group_6421	1686	204	0.011494252873563218
group_5154	group_7019	903	2673	0.011454753722794959
group_1974	group_1943	732	741	0.011396011396011397
group_1972	group_6644	732	759	0.011396011396011397
group_553	group_1942	1344	741	0.011251758087201125
group_1938	ehuA	741	771	0.011251758087201125
group_288	group_258	1728	1797	0.011189634864546525
group_5278	group_2053	657	702	0.011164274322169059
group_2620	group_2624	480	480	0.011111111111111112
group_5708	clsB	1203	1203	0.011082693947144074
group_4474	sfcA	2289	2298	0.011066843736166445
yclP	group_1906	777	756	0.011019283746556474
group_4118	group_242	1854	1857	0.010964912280701754
group_1591	group_1634	864	852	0.010948905109489052
group_6334	group_4243	762	810	0.01092896174863388
group_5780	group_3618	1644	1596	0.010855683269476373
group_6503	potA	1089	1047	0.010816125860373648
group_5445	group_7079	2982	957	0.010787486515641856
group_5195	group_2346	588	594	0.010752688172043012
group_340	btuD~~~dppD	1635	1146	0.010752688172043012
group_6578	group_4594	873	873	0.010676156583629894
tar	group_5272	1731	1629	0.010631644777986242
group_1208	group_1165	972	981	0.010615711252653927
group_864	group_2820	1134	411	0.010498687664041995
group_2113	group_7009	681	507	0.010482180293501049
group_5181	group_7061	894	891	0.010452961672473868
group_1378	group_6991	921	891	0.010452961672473868
group_1748	urtD	798	840	0.010416666666666666
group_2312	hasA	609	612	0.010362694300518135
group_340	group_4655	1635	1011	0.010193679918450561
gstB	group_2285	642	621	0.01015228426395939
group_6674	group_4660	1017	1017	0.010131712259371834
group_1045	group_4660	1017	1017	0.010131712259371834
group_232	group_252	1887	1812	0.010101010101010102
group_581	group_583	1320	1320	0.010077519379844961
group_693	group_695	1224	1224	0.010050251256281407
group_6351	group_417	1551	1527	0.01002004008016032
